2026-07-10 09:26:31,271 | INFO | ORDER OPENED {'ticket': 'JQE-000015', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4349.0), 'lot': np.float64(0.06), 'stop_loss': np.float64(4340.19), 'take_profit': np.float64(4366.48), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 271357), 'status': 'OPEN'}
2026-07-10 09:26:31,271 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,271 | INFO | Signal: BUY Confidence: 70
2026-07-10 09:26:31,272 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 70, 'entry': np.float64(4351.04), 'lot': np.float64(0.05), 'stop_loss': np.float64(4341.72), 'take_profit': np.float64(4369.67), 'risk_percent': 1}
2026-07-10 09:26:31,272 | INFO | ORDER OPENED {'ticket': 'JQE-000016', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4351.09), 'lot': np.float64(0.05), 'stop_loss': np.float64(4341.72), 'take_profit': np.float64(4369.67), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 272217), 'status': 'OPEN'}
2026-07-10 09:26:31,272 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,272 | INFO | Signal: BUY Confidence: 70
2026-07-10 09:26:31,273 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 70, 'entry': np.float64(4354.7), 'lot': np.float64(0.05), 'stop_loss': np.float64(4345.47), 'take_profit': np.float64(4373.16), 'risk_percent': 1}
2026-07-10 09:26:31,273 | INFO | ORDER OPENED {'ticket': 'JQE-000017', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4354.75), 'lot': np.float64(0.05), 'stop_loss': np.float64(4345.47), 'take_profit': np.float64(4373.16), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 273136), 'status': 'OPEN'}
2026-07-10 09:26:31,273 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,273 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,274 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4347.2), 'lot': np.float64(0.05), 'stop_loss': np.float64(4337.49), 'take_profit': np.float64(4366.62), 'risk_percent': 1}
2026-07-10 09:26:31,274 | INFO | ORDER OPENED {'ticket': 'JQE-000018', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4347.25), 'lot': np.float64(0.05), 'stop_loss': np.float64(4337.49), 'take_profit': np.float64(4366.62), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 274172), 'status': 'OPEN'}
2026-07-10 09:26:31,274 | INFO | Market regime detected: TREND_UP
